0,1,2
-35.237703209856306,-5.866900355756691,Pitimbu
-35.22448236537865,-5.869844578936916,Pitimbu
-35.228756501494836,-5.871333303073274,Pitimbu
-35.26261462011521,-5.85506619919289,Planalto
-35.258811005481206,-5.860338175524985,Planalto
-35.25048943274136,-5.85394781041458,Planalto
-35.173768569491465,-5.898934805018979,Ponta Negra
-35.16714193621489,-5.897288286703404,Ponta Negra
-35.17906816671907,-5.8975379971837265,Ponta Negra
-35.200596931346716,-5.86892357224675,Neópolis
-35.20946321383779,-5.870883344692895,Neópolis
-35.20923614968912,-5.859391624062101,Neópolis
-35.20105025629072,-5.862073800044753,Capim Macio
-35.19184106500443,-5.866429499294064,Capim Macio
-35.19232224128281,-5.872239438262752,Capim Macio
-35.26901674319984,-5.722668791207794,Lagoa Azul
-35.236564625024286,-5.7229869369563735,Lagoa Azul
-35.2641977724434,-5.735263424024367,Lagoa Azul
-35.2307420789147,-5.7491894706233735,Pajuçara
-35.245793420391166,-5.725342668464392,Pajuçara
-35.22971414096204,-5.738556221366928,Pajuçara
-35.21183175476338,-5.807371351209724,Lagoa Seca
-35.21095746107872,-5.80244635176577,Lagoa Seca
-35.20949954074599,-5.810373965023254,Lagoa Seca
-35.205892923226735,-5.804213495001212,Barro Vermelho
-35.20685458897942,-5.804781631979492,Barro Vermelho
-35.208919678371934,-5.794187198646298,Barro Vermelho
-35.22676481752109,-5.8551184510000684,Candelária
-35.212601294658455,-5.845101195610478,Candelária
-35.226993215542144,-5.835664941064102,Candelária
-35.193503666488546,-5.775670599398632,Praia do Meio
-35.197196990712506,-5.780960578850488,Praia do Meio
-35.19359585990208,-5.781737162485493,Praia do Meio
-35.19759941289529,-5.7743331386777985,Rocas
-35.19932644238594,-5.772478609215316,Rocas
-35.1998839944506,-5.774929787068471,Rocas
-35.194864825251585,-5.767950620678624,Santos Reis
-35.19704974911536,-5.770870879565387,Santos Reis
-35.19499702508768,-5.771697200522576,Santos Reis
-35.224405658798695,-5.731605609482803,Redinha
-35.22970028278045,-5.758076769157569,Redinha
-35.2159701109218,-5.764605973156539,Redinha
-35.23679148684276,-5.785931103147531,Salinas
-35.24321178377604,-5.769903618503579,Salinas
-35.243826758153055,-5.775061412394447,Salinas
-35.263252212530425,-5.76800934111245,Igapó
-35.268558519899265,-5.763323263885721,Igapó
-35.267613069269544,-5.768540018346529,Igapó
-35.274774840861184,-5.754877430521891,Nossa Senhora da Apresentação
-35.2710334201044,-5.739693527729091,Nossa Senhora da Apresentação
-35.276453550310926,-5.739080940454401,Nossa Senhora da Apresentação
-35.25192213081733,-5.754661703868748,Potengi
-35.25270527248341,-5.739571959070472,Potengi
-35.25863567811004,-5.757791068897288,Potengi
-35.20362461011512,-5.781905979756803,Ribeira
-35.204126937049274,-5.781041275060698,Ribeira
-35.20386148790227,-5.782055436664583,Ribeira
-35.211489411268516,-5.785162177752614,Cidade Alta
-35.20459553574716,-5.7846600337297245,Cidade Alta
-35.209610867228356,-5.786498304729447,Cidade Alta
-35.21519780949017,-5.788843346869414,Alecrim
-35.21053827295236,-5.791616441931564,Alecrim
-35.221144146520416,-5.792473817200328,Alecrim
-35.24111139969755,-5.797108773514844,Nordeste
-35.23870850773436,-5.793107974359288,Nordeste
-35.2437798450802,-5.7913024416821015,Nordeste
-35.22778833892622,-5.798471602343559,Quintas
-35.23361461373002,-5.788061623032664,Quintas
-35.227343915758794,-5.790849945204759,Quintas
-35.25253478808029,-5.810927310743773,Bom Pastor
-35.24102400642864,-5.812959914236919,Bom Pastor
-35.23901970305631,-5.805899276420909,Bom Pastor
-35.228070180821206,-5.8126199785865555,Dix-Sept Rosado
-35.22348086786985,-5.808821281558432,Dix-Sept Rosado
-35.22322962322735,-5.807071949731751,Dix-Sept Rosado
-35.23220564559784,-5.815123335553726,Nossa Senhora de Nazaré
-35.23903246905173,-5.818824280192377,Nossa Senhora de Nazaré
-35.23749902610466,-5.815597379510311,Nossa Senhora de Nazaré
-35.223282629142375,-5.8250873017455955,Lagoa Nova
-35.211145773355646,-5.825768594221928,Lagoa Nova
-35.210988077548116,-5.819005214798947,Lagoa Nova
-35.18217427244926,-5.7972991999260035,Mãe Luiza
-35.18970595322579,-5.79077994073529,Mãe Luiza
-35.182321036130915,-5.798006817948396,Mãe Luiza
-35.19841378539483,-5.834666687734314,Nova Descoberta
-35.19980159219268,-5.833291478518573,Nova Descoberta
-35.19417979540239,-5.827177042478516,Nova Descoberta
-35.20629044801324,-5.793676864680108,Tirol
-35.20266688209485,-5.7975599781215434,Tirol
-35.1960228074772,-5.792898649114992,Tirol
-35.19641739750562,-5.789071589567257,Petrópolis
-35.201117712102686,-5.78151486439753,Petrópolis
-35.19600395020952,-5.787548571071388,Petrópolis
-35.189074844057345,-5.787308624428249,Areia Preta
-35.19523342234083,-5.784457152735048,Areia Preta
-35.19113331021177,-5.785686362882762,Areia Preta
-35.239266819490716,-5.83965447040531,Cidade Nova
-35.2361790720825,-5.8339351276355265,Cidade Nova
-35.238120269870166,-5.842326631895983,Cidade Nova
-35.22810877928653,-5.827193925982888,Cidade da Esperança
-35.23242252290187,-5.831773294182183,Cidade da Esperança
-35.23399810757326,-5.821535526096006,Cidade da Esperança
-35.25236848773476,-5.821661331006756,Felipe Camarão
-35.268791207115235,-5.81611577986442,Felipe Camarão
-35.260668434524284,-5.81320446069479,Felipe Camarão
-35.2642524044874,-5.833339042890781,Guarapes
-35.26635714176914,-5.848761792358605,Guarapes
-35.27912705400021,-5.831818796010152,Guarapes
