0,1,2
-35.218999374695215,-5.866645819831004,Pitimbu
-35.2427637118744,-5.863160510267787,Pitimbu
-35.22235017292564,-5.8718609856038855,Pitimbu
-35.249497216521625,-5.858430490472819,Planalto
-35.2676679153593,-5.850812154608859,Planalto
-35.25582888368333,-5.864138811416758,Planalto
-35.194497031840626,-5.873840990394206,Ponta Negra
-35.190225609516816,-5.87978365246756,Ponta Negra
-35.17286990815048,-5.898802810466477,Ponta Negra
-35.20855878196747,-5.869290172382314,Neópolis
-35.21043576269032,-5.864970115365047,Neópolis
-35.20789275571407,-5.857893141435875,Neópolis
-35.20617784424016,-5.844908625911569,Capim Macio
-35.19260990466396,-5.862544413723741,Capim Macio
-35.20842672373119,-5.843570725066244,Capim Macio
-35.25883682871675,-5.722089311118469,Lagoa Azul
-35.271896373959116,-5.720368040725936,Lagoa Azul
-35.26895465695971,-5.728898595722771,Lagoa Azul
-35.214886405571754,-5.745266677303915,Pajuçara
-35.235182871063245,-5.7454071590280895,Pajuçara
-35.241003862602845,-5.744862473834676,Pajuçara
-35.208836373186124,-5.80977975580561,Lagoa Seca
-35.20879809283049,-5.80920019707062,Lagoa Seca
-35.209429625393625,-5.808715731094848,Lagoa Seca
-35.20668486296899,-5.803842125111759,Barro Vermelho
-35.20723963407158,-5.793438905179711,Barro Vermelho
-35.20446952047118,-5.801588884788018,Barro Vermelho
-35.22258700472748,-5.854624978868581,Candelária
-35.21543609370416,-5.846219844256444,Candelária
-35.231421735966734,-5.830236744964022,Candelária
-35.19713964138468,-5.780539221010851,Praia do Meio
-35.19680695206893,-5.779635659388596,Praia do Meio
-35.19519856129605,-5.776882067532339,Praia do Meio
-35.20207655556933,-5.769558615215327,Rocas
-35.202981793259774,-5.77258471097194,Rocas
-35.20303252182046,-5.769634265994614,Rocas
-35.19829731493858,-5.757382946223442,Santos Reis
-35.198916399976326,-5.758628524663044,Santos Reis
-35.19568630443105,-5.769461740806684,Santos Reis
-35.231223615597855,-5.759369653210467,Redinha
-35.22207082270955,-5.745607699912314,Redinha
-35.21951508593257,-5.7379158982165634,Redinha
-35.22546114829184,-5.781154329068326,Salinas
-35.246532656322856,-5.770767928404414,Salinas
-35.21829157397005,-5.767788892194404,Salinas
-35.26716078534714,-5.76560656670308,Igapó
-35.251382554793494,-5.7700349949929075,Igapó
-35.27227741827424,-5.767364266110533,Igapó
-35.26293959636532,-5.7504823538042915,Nossa Senhora da Apresentação
-35.28121893849297,-5.739844463579075,Nossa Senhora da Apresentação
-35.275723515289116,-5.731224928155772,Nossa Senhora da Apresentação
-35.24690130489672,-5.741884464207833,Potengi
-35.25854993043646,-5.743730273060978,Potengi
-35.2503326731662,-5.762098867860819,Potengi
-35.204584257802516,-5.778463670536294,Ribeira
-35.205600558208765,-5.780867291336321,Ribeira
-35.20384907277952,-5.76980665749658,Ribeira
-35.21087198523912,-5.789968142373989,Cidade Alta
-35.210254172565286,-5.7881060961829505,Cidade Alta
-35.20339508226146,-5.785063707232606,Cidade Alta
-35.21743553567826,-5.807338292939723,Alecrim
-35.22017577754226,-5.80575111820755,Alecrim
-35.2206812693897,-5.797938624406105,Alecrim
-35.24952726737596,-5.795610224772935,Nordeste
-35.24101855498233,-5.7976552798346885,Nordeste
-35.23783827742006,-5.797686783460638,Nordeste
-35.23669936196437,-5.7951392123498495,Quintas
-35.23284599533043,-5.800856352138,Quintas
-35.23282103366596,-5.798496708293679,Quintas
-35.245691231429895,-5.8124823857764785,Bom Pastor
-35.24225515562446,-5.813633116853997,Bom Pastor
-35.246928451857926,-5.813692314964698,Bom Pastor
-35.23013741512337,-5.807652407393504,Dix-Sept Rosado
-35.22516830840393,-5.807023838391811,Dix-Sept Rosado
-35.22825935778208,-5.807609624552825,Dix-Sept Rosado
-35.23627993589296,-5.815902784285058,Nossa Senhora de Nazaré
-35.237104928520665,-5.815574037207189,Nossa Senhora de Nazaré
-35.23424601215309,-5.820491231693944,Nossa Senhora de Nazaré
-35.205100304007594,-5.836554562050175,Lagoa Nova
-35.20806901806057,-5.837316266594839,Lagoa Nova
-35.212328285139144,-5.81528266997807,Lagoa Nova
-35.183269436404814,-5.792913497667951,Mãe Luiza
-35.18299977622942,-5.792988272706111,Mãe Luiza
-35.184786253139364,-5.7982739311694065,Mãe Luiza
-35.19999401784303,-5.817162755781675,Nova Descoberta
-35.19842368410892,-5.821847331461862,Nova Descoberta
-35.19828358878083,-5.834107151725926,Nova Descoberta
-35.20384347894855,-5.794501537313692,Tirol
-35.203648125824195,-5.793227468823101,Tirol
-35.205467619670685,-5.791573673600916,Tirol
-35.19679321410658,-5.784907587609181,Petrópolis
-35.19693733580016,-5.7819207913325625,Petrópolis
-35.19632581690067,-5.783467988456266,Petrópolis
-35.18808909767809,-5.789643442909316,Areia Preta
-35.19390275654759,-5.784989200058011,Areia Preta
-35.18962144165316,-5.786003863803134,Areia Preta
-35.239828567157254,-5.8411822292592355,Cidade Nova
-35.23923132533206,-5.839494898505811,Cidade Nova
-35.23590113555956,-5.838344453787853,Cidade Nova
-35.23753772506141,-5.820551576248595,Cidade da Esperança
-35.24127299873964,-5.823544395957942,Cidade da Esperança
-35.24185313614424,-5.8257642920709625,Cidade da Esperança
-35.25391764387783,-5.8332350029876325,Felipe Camarão
-35.248503944840486,-5.821651611912358,Felipe Camarão
-35.241363731330665,-5.818975079390362,Felipe Camarão
-35.27567248563409,-5.835398987790081,Guarapes
-35.27093557049084,-5.822216011345026,Guarapes
-35.271137615227495,-5.851343048638553,Guarapes
