datetime,log,lat,neigh,point_hash,eta
2017-10-18 23:00:04.989364,-35.21899937469521,-5.866645819831004,Pitimbu,7nyyws423cfw,240.0
2017-10-18 23:00:05.895611,-35.242763711874396,-5.863160510267787,Pitimbu,7nyywh9h85dt,180.0
2017-10-18 23:00:06.740082,-35.22235017292564,-5.8718609856038855,Pitimbu,7nyyw7pcgvb0,120.0
2017-10-18 23:00:07.608325,-35.249497216521625,-5.858430490472819,Planalto,7nyytvs05jmu,180.0
2017-10-18 23:00:08.664721,-35.2676679153593,-5.8508121546088585,Planalto,7nyytqyuec8f,360.0
2017-10-18 23:00:09.534426,-35.25582888368333,-5.864138811416758,Planalto,7nyytsrqztk9,240.0
2017-10-18 23:00:10.425597,-35.194497031840626,-5.873840990394206,Ponta Negra,7nyyx4snku8v,240.0
2017-10-18 23:00:11.325620,-35.19022560951681,-5.87978365246756,Ponta Negra,7nyyx1x7b2cu,420.0
2017-10-18 23:00:12.210640,-35.17286990815048,-5.898802810466478,Ponta Negra,7nyyrw5uuxrq,240.0
2017-10-18 23:00:13.103775,-35.20855878196747,-5.869290172382313,Neópolis,7nyywg9bvj58,180.0
2017-10-18 23:00:13.959570,-35.21043576269032,-5.864970115365048,Neópolis,7nyywu2d16k4,120.0
2017-10-18 23:00:14.896213,-35.20789275571407,-5.857893141435874,Neópolis,7nyywvd7k9s6,120.0
2017-10-18 23:00:15.811372,-35.20617784424015,-5.844908625911568,Capim Macio,7nyywzgwuw51,120.0
2017-10-18 23:00:16.678638,-35.19260990466396,-5.862544413723742,Capim Macio,7nyyxhv80y80,180.0
2017-10-18 23:00:17.695307,-35.208426723731186,-5.843570725066245,Capim Macio,7nyyyb4n8pqn,120.0
2017-10-18 23:00:18.632499,-35.25883682871675,-5.722089311118469,Lagoa Azul,7nyzmwm63t1x,180.0
2017-10-18 23:00:19.483195,-35.271896373959116,-5.720368040725937,Lagoa Azul,7nyzmqeu3npg,540.0
2017-10-18 23:00:20.368886,-35.26895465695971,-5.728898595722772,Lagoa Azul,7nyzmmjftzck,420.0
2017-10-18 23:00:21.242251,-35.214886405571754,-5.745266677303915,Pajuçara,7nyzqdj73stt,420.0
2017-10-18 23:01:25.707992,-35.235182871063245,-5.7454071590280895,Pajuçara,7nyzq4nd8drr,360.0
2017-10-18 23:01:26.764285,-35.241003862602845,-5.744862473834676,Pajuçara,7nyzq44mc04b,360.0
2017-10-18 23:01:27.626313,-35.208836373186124,-5.809779755805611,Lagoa Seca,7nyyyy3ewdsc,120.0
2017-10-18 23:01:28.503919,-35.20879809283049,-5.80920019707062,Lagoa Seca,7nyyyy3wzw97,120.0
2017-10-18 23:01:29.405505,-35.209429625393625,-5.808715731094848,Lagoa Seca,7nyyyy93bbfk,60.0
2017-10-18 23:01:30.333915,-35.20668486296899,-5.803842125111759,Barro Vermelho,7nyyyz7q0v3j,180.0
2017-10-18 23:01:31.320143,-35.20723963407158,-5.793438905179711,Barro Vermelho,7nyznc6fgbeq,240.0
2017-10-18 23:01:32.319257,-35.20446952047118,-5.801588884788018,Barro Vermelho,7nyyyzugk3ky,180.0
2017-10-18 23:01:33.384367,-35.22258700472748,-5.854624978868581,Candelária,7nyywqpwq4z9,240.0
2017-10-18 23:01:34.387234,-35.215436093704156,-5.846219844256443,Candelária,7nyywxszkces,240.0
2017-10-18 23:01:35.265748,-35.23142173596673,-5.830236744964022,Candelária,7nyyy69k2m5g,240.0
2017-10-18 23:01:36.423211,-35.19713964138468,-5.7805392210108515,Praia do Meio,7nyzp5djzjqk,300.0
2017-10-18 23:01:37.349537,-35.19680695206893,-5.779635659388597,Praia do Meio,7nyzp5f7nvyd,180.0
2017-10-18 23:01:38.237886,-35.195198561296046,-5.776882067532339,Praia do Meio,7nyzph7ehrju,120.0
2017-10-18 23:01:39.080201,-35.20207655556933,-5.7695586152153275,Rocas,7nyznvwtuhm4,300.0
2017-10-18 23:01:39.995452,-35.202981793259774,-5.772584710971941,Rocas,7nyznvjur04n,180.0
2017-10-18 23:01:40.876406,-35.20303252182046,-5.769634265994613,Rocas,7nyznvtvmyhq,240.0
2017-10-18 23:01:41.736149,-35.19829731493858,-5.7573829462234425,Santos Reis,7nyzppcku4p0,240.0
2017-10-18 23:01:43.390903,-35.198916399976326,-5.758628524663044,Santos Reis,7nyzpp8vtccd,240.0
2017-10-18 23:01:44.263474,-35.19568630443105,-5.769461740806683,Santos Reis,7nyzpjeq3n6h,120.0
2017-10-18 23:01:45.130051,-35.231223615597855,-5.759369653210468,Redinha,7nyznr93hzxt,360.0
2017-10-18 23:02:49.548280,-35.22207082270955,-5.745607699912314,Redinha,7nyzqd016m07,360.0
2017-10-18 23:02:50.710351,-35.21951508593257,-5.7379158982165634,Redinha,7nyzqe3yjyfn,600.0
2017-10-18 23:02:51.643825,-35.22546114829184,-5.781154329068325,Salinas,7nyzn7td768r,480.0
2017-10-18 23:02:52.543857,-35.24653265632285,-5.770767928404415,Salinas,7nyzjvqqb6bk,300.0
2017-10-18 23:02:53.389870,-35.21829157397005,-5.767788892194403,Salinas,7nyznw4b4q4r,660.0
2017-10-18 23:02:54.268998,-35.267160785347144,-5.76560656670308,Igapó,7nyzjqrhzt4c,240.0
2017-10-18 23:02:55.109333,-35.251382554793494,-5.770034994992908,Igapó,7nyzjvdep780,300.0
2017-10-18 23:02:55.967813,-35.27227741827424,-5.767364266110532,Igapó,7nyzjq5d8m7s,240.0
2017-10-18 23:02:56.846684,-35.26293959636532,-5.750482353804292,Nossa Senhora da Apresentação,7nyzm94m1bqk,180.0
2017-10-18 23:02:57.730317,-35.28121893849297,-5.739844463579075,Nossa Senhora da Apresentação,7nyzm5j4bp2q,420.0
2017-10-18 23:02:58.570549,-35.275723515289116,-5.731224928155773,Nossa Senhora da Apresentação,7nyzmk9j0n4p,360.0
2017-10-18 23:02:59.418904,-35.24690130489672,-5.741884464207832,Potengi,7nyzmftzpejm,300.0
2017-10-18 23:03:00.300848,-35.25854993043646,-5.743730273060978,Potengi,7nyzmdms25pd,240.0
2017-10-18 23:03:01.129964,-35.250332673166206,-5.762098867860818,Potengi,7nyzjz53rdyv,120.0
2017-10-18 23:03:02.042317,-35.20458425780252,-5.778463670536294,Ribeira,7nyznuhf18r3,120.0
2017-10-18 23:03:02.967441,-35.205600558208765,-5.780867291336322,Ribeira,7nyzngsh401x,120.0
2017-10-18 23:03:04.004794,-35.20384907277952,-5.76980665749658,Ribeira,7nyznvtk6y5d,300.0
2017-10-18 23:03:04.913346,-35.210871985239116,-5.789968142373989,Cidade Alta,7nyzncbnzpwy,300.0
